,country,frequency,variable,value_x,value_y,count_percent
399,Jordan,Always or almost always,helpFriendsMaths,1137,4465,25.46
400,Kazakhstan,Never or rarely,helpFriendsMaths,442,3817,11.58
401,Kazakhstan,Sometimes,helpFriendsMaths,1483,3817,38.85
402,Kazakhstan,Often,helpFriendsMaths,1420,3817,37.2
403,Kazakhstan,Always or almost always,helpFriendsMaths,472,3817,12.37
404,Korea,Never or rarely,helpFriendsMaths,912,3349,27.23
405,Korea,Sometimes,helpFriendsMaths,1605,3349,47.92
406,Korea,Often,helpFriendsMaths,702,3349,20.96
407,Korea,Always or almost always,helpFriendsMaths,130,3349,3.88
408,Latvia,Never or rarely,helpFriendsMaths,820,2866,28.61
409,Latvia,Sometimes,helpFriendsMaths,1402,2866,48.92
410,Latvia,Often,helpFriendsMaths,559,2866,19.5
411,Latvia,Always or almost always,helpFriendsMaths,85,2866,2.97
412,Liechtenstein,Never or rarely,helpFriendsMaths,41,194,21.13
413,Liechtenstein,Sometimes,helpFriendsMaths,95,194,48.97
414,Liechtenstein,Often,helpFriendsMaths,40,194,20.62
415,Liechtenstein,Always or almost always,helpFriendsMaths,18,194,9.28
416,Lithuania,Never or rarely,helpFriendsMaths,1203,3019,39.85
417,Lithuania,Sometimes,helpFriendsMaths,1279,3019,42.37
418,Lithuania,Often,helpFriendsMaths,445,3019,14.74
419,Lithuania,Always or almost always,helpFriendsMaths,92,3019,3.05
420,Luxembourg,Never or rarely,helpFriendsMaths,1063,3387,31.38
421,Luxembourg,Sometimes,helpFriendsMaths,1441,3387,42.55
422,Luxembourg,Often,helpFriendsMaths,685,3387,20.22
423,Luxembourg,Always or almost always,helpFriendsMaths,198,3387,5.85
424,Macao-China,Never or rarely,helpFriendsMaths,617,3536,17.45
425,Macao-China,Sometimes,helpFriendsMaths,1833,3536,51.84
426,Macao-China,Often,helpFriendsMaths,840,3536,23.76
427,Macao-China,Always or almost always,helpFriendsMaths,246,3536,6.96
428,Malaysia,Never or rarely,helpFriendsMaths,314,3360,9.35
429,Malaysia,Sometimes,helpFriendsMaths,1548,3360,46.07
430,Malaysia,Often,helpFriendsMaths,1086,3360,32.32
